fecha;cdoperador;cdpunto_atencion;dia_semana;recaudo_cat_I;recaudo_cat_II;recaudo_cat_III;recaudo_cat_IV;recaudo_cat_V;recaudo_cat_VI;recaudo_cat_VII;recaudo_cat_VIII;recaudo_total_diario;movimientos_diarios_operador
26/02/2025;1;3;Miercoles;0.00;0.00;2633400.00;5882100.00;91532300.00;68000.00;2040000.00;1432200.00;103588000.00;7938
26/02/2025;1;1;Miercoles;45847200.00;11079600.00;34353000.00;35937200.00;61514800.00;8532800.00;25435600.00;19894000.00;242594200.00;8163
27/02/2025;1;1;Jueves;50577200.00;11983600.00;37085300.00;38157200.00;64409700.00;8668000.00;26634400.00;21471600.00;258987000.00;8686
27/02/2025;1;3;Jueves;0.00;0.00;2695000.00;5938500.00;92818900.00;68000.00;1360000.00;1432200.00;104312600.00;8017
28/02/2025;1;3;Viernes;0.00;0.00;2710400.00;5797500.00;99809500.00;68000.00;1020000.00;1031800.00;110437200.00;8526
28/02/2025;1;1;Viernes;49124400.00;11330400.00;34690600.00;42854400.00;85667500.00;7792000.00;24418000.00;19561700.00;275439000.00;9828
1/03/2025;1;1;Sabado;36903200.00;8825200.00;22039900.00;37501400.00;86418000.00;6444400.00;17964400.00;14264300.00;230360800.00;8635
1/03/2025;1;3;Sabado;0.00;0.00;1617000.00;4867200.00;104649800.00;0.00;544000.00;477400.00;112155400.00;8676
2/03/2025;1;1;Domingo;13339200.00;3570000.00;5326600.00;36250100.00;92169200.00;1786400.00;3140800.00;2979100.00;158561400.00;7180
2/03/2025;1;3;Domingo;0.00;0.00;385000.00;3805600.00;84852800.00;0.00;0.00;30800.00;89074200.00;6944
3/03/2025;1;3;Lunes;0.00;0.00;2941400.00;6010300.00;84813700.00;0.00;442000.00;1309000.00;95516400.00;7430
3/03/2025;1;1;Lunes;43894800.00;11428400.00;33143900.00;38535500.00;61391000.00;9457200.00;23426000.00;20026100.00;241302900.00;8167
4/03/2025;1;1;Martes;47344000.00;11978800.00;34218400.00;38574000.00;64226000.00;7842800.00;28128000.00;20724900.00;253036900.00;8506
4/03/2025;1;3;Martes;0.00;0.00;2956800.00;5644800.00;90492600.00;0.00;918000.00;1216600.00;101228800.00;7817
5/03/2025;1;3;Miercoles;0.00;0.00;2787400.00;5940000.00;91110600.00;0.00;1190000.00;1185800.00;102213800.00;7877
5/03/2025;1;1;Miercoles;50302800.00;11983600.00;36169700.00;39318500.00;61862500.00;7294800.00;26687600.00;20663500.00;254283000.00;8487
6/03/2025;1;3;Jueves;0.00;0.00;3264800.00;5786000.00;93932800.00;34000.00;1122000.00;1078000.00;105217600.00;8104
6/03/2025;1;1;Jueves;49614800.00;12636800.00;36554300.00;39552900.00;64631200.00;8477600.00;27972400.00;21176500.00;260616500.00;8735
7/03/2025;1;3;Viernes;0.00;0.00;2833600.00;6043900.00;100805700.00;68000.00;1428000.00;1047200.00;112226400.00;8657
7/03/2025;1;1;Viernes;53217600.00;11639600.00;34334800.00;39844100.00;73165700.00;8252000.00;25935200.00;21504700.00;267893700.00;9120
8/03/2025;1;3;Sabado;0.00;0.00;1955800.00;5508400.00;104876500.00;0.00;1020000.00;862400.00;114223100.00;8836
8/03/2025;1;1;Sabado;41538000.00;8611200.00;23045500.00;34299700.00;84250800.00;7000000.00;16394000.00;11856500.00;226995700.00;8395
9/03/2025;1;1;Domingo;13932000.00;4680800.00;4965000.00;32229000.00;86411400.00;2602400.00;3761200.00;3481900.00;152063700.00;6795
9/03/2025;1;3;Domingo;0.00;0.00;415800.00;3986300.00;84678800.00;0.00;0.00;61600.00;89142500.00;6945
10/03/2025;1;1;Lunes;50990800.00;10470400.00;33638200.00;38853700.00;60874200.00;7434000.00;24378800.00;19180400.00;245820500.00;8240
10/03/2025;1;3;Lunes;0.00;0.00;2698200.00;6039800.00;82370900.00;0.00;1088000.00;1509200.00;93706100.00;7210
11/03/2025;1;1;Martes;45926000.00;11767600.00;34389100.00;37963300.00;60793200.00;8184400.00;27024400.00;21434200.00;247482200.00;8287
11/03/2025;1;3;Martes;0.00;0.00;3141600.00;5909200.00;86950200.00;102000.00;1496000.00;1493800.00;99092800.00;7612
12/03/2025;1;3;Miercoles;0.00;0.00;2627600.00;5675800.00;90482400.00;102000.00;1530000.00;1216600.00;101634400.00;7822
12/03/2025;1;1;Miercoles;50732800.00;14417200.00;35697400.00;37988900.00;65651600.00;8330800.00;28670500.00;19900900.00;261390100.00;8676
13/03/2025;1;1;Jueves;51532400.00;12234400.00;33900500.00;37535600.00;64150100.00;8463200.00;27711100.00;21120200.00;256647500.00;8533
13/03/2025;1;3;Jueves;0.00;0.00;2716800.00;5969300.00;92127000.00;102000.00;1598000.00;1293600.00;103806700.00;8002
14/03/2025;1;1;Viernes;50346800.00;12218000.00;35556100.00;40111600.00;73362800.00;6549200.00;24383200.00;19896900.00;262424600.00;9097
14/03/2025;1;3;Viernes;0.00;0.00;2448600.00;6042600.00;104071200.00;68000.00;1734000.00;985600.00;115350000.00;8890
15/03/2025;1;3;Sabado;0.00;0.00;1801800.00;4900200.00;98787200.00;0.00;1054000.00;400400.00;106943600.00;8281
15/03/2025;1;1;Sabado;35854800.00;10254400.00;24396200.00;34898200.00;80689500.00;6474800.00;18412800.00;12121500.00;223102200.00;8277
16/03/2025;1;3;Domingo;0.00;0.00;415800.00;3786300.00;79824800.00;0.00;0.00;61600.00;84088500.00;6555
16/03/2025;1;1;Domingo;12642000.00;5041200.00;5089200.00;32767400.00;85256700.00;2079200.00;6246800.00;3837200.00;152959700.00;6727
17/03/2025;1;3;Lunes;0.00;0.00;2541000.00;6116800.00;96570000.00;0.00;714000.00;1108800.00;107050600.00;8312
17/03/2025;1;1;Lunes;53870800.00;10556400.00;32340000.00;38841500.00;68745700.00;7657200.00;28887600.00;19483100.00;260382300.00;8715
18/03/2025;1;3;Martes;0.00;0.00;2725800.00;5742400.00;85371800.00;102000.00;1292000.00;1047200.00;96281200.00;7413
18/03/2025;1;1;Martes;50121600.00;10970400.00;33796100.00;37846400.00;61452600.00;9288000.00;29215200.00;20886500.00;253576800.00;8380
19/03/2025;1;1;Miercoles;49082400.00;11244400.00;34403000.00;39133300.00;64590500.00;7450400.00;25616800.00;19771100.00;251291900.00;8501
19/03/2025;1;3;Miercoles;0.00;0.00;2510200.00;6361900.00;89777500.00;34000.00;986000.00;1170400.00;100840000.00;7770
20/03/2025;1;3;Jueves;0.00;0.00;3157000.00;5916800.00;92629200.00;170000.00;1088000.00;1339800.00;104300800.00;8033
20/03/2025;1;1;Jueves;52022800.00;9924400.00;34060800.00;37213400.00;65232300.00;7928800.00;25064000.00;19468700.00;250915200.00;8461
21/03/2025;1;1;Viernes;52701600.00;13110800.00;37870400.00;39563700.00;72156200.00;8019600.00;29078000.00;21052800.00;273553100.00;9220
21/03/2025;1;3;Viernes;0.00;0.00;2670600.00;6441300.00;97023500.00;0.00;1530000.00;1016400.00;108681800.00;8375
22/03/2025;1;3;Sabado;0.00;0.00;2032800.00;5200400.00;88777000.00;0.00;340000.00;688000.00;97038200.00;7531
22/03/2025;1;1;Sabado;26153200.00;5764000.00;17294700.00;38175500.00;97323500.00;3338400.00;10052000.00;8619600.00;206720900.00;8580
23/03/2025;1;1;Domingo;17983200.00;5773200.00;6564100.00;37093100.00;91248500.00;2588000.00;3563600.00;4250000.00;169063700.00;7335
23/03/2025;1;3;Domingo;0.00;0.00;492800.00;3470500.00;74686000.00;0.00;0.00;133600.00;78782900.00;6152
24/03/2025;1;1;Lunes;7310000.00;2563600.00;6014300.00;35177200.00;92292000.00;1268400.00;2959600.00;3138000.00;150723100.00;7072
24/03/2025;1;3;Lunes;0.00;0.00;508200.00;3674400.00;63459200.00;0.00;136000.00;154000.00;67931800.00;5270
25/03/2025;1;1;Martes;55625600.00;12137600.00;36603600.00;40200100.00;64210400.00;7273600.00;28680800.00;21375400.00;266107100.00;8801
25/03/2025;1;3;Martes;0.00;0.00;3095400.00;5741100.00;89347500.00;34000.00;578000.00;1355200.00;100151200.00;7749
26/03/2025;1;1;Miercoles;57664000.00;13659600.00;36681900.00;38920600.00;63793000.00;9288000.00;30623200.00;24482200.00;275112500.00;8901
26/03/2025;1;3;Miercoles;0.00;0.00;2701400.00;5786000.00;90092700.00;117400.00;952000.00;1247400.00;100896900.00;7777
27/03/2025;1;1;Jueves;59574400.00;14847200.00;38707300.00;38911000.00;63665900.00;7325200.00;29914400.00;23772100.00;276717500.00;8991
27/03/2025;1;3;Jueves;0.00;0.00;2729000.00;5764300.00;89473900.00;0.00;884000.00;1216600.00;100067800.00;7731
28/03/2025;1;1;Viernes;59883600.00;15474800.00;37600300.00;40666200.00;69519800.00;8031600.00;29375200.00;23808500.00;284360000.00;9370
28/03/2025;1;3;Viernes;0.00;0.00;2772000.00;5691200.00;94264900.00;102000.00;1258000.00;939400.00;105027500.00;8106
29/03/2025;1;1;Sabado;42837200.00;11707200.00;24114000.00;35477800.00;75487700.00;6564100.00;18508000.00;14963700.00;229659700.00;8180
29/03/2025;1;3;Sabado;0.00;0.00;1709400.00;5540300.00;95045900.00;0.00;578000.00;415800.00;103289400.00;8001
30/03/2025;1;3;Domingo;0.00;0.00;431200.00;3898900.00;73710300.00;0.00;0.00;46200.00;78086600.00;6093
30/03/2025;1;1;Domingo;23306000.00;6975200.00;6782500.00;34418300.00;80603800.00;2017700.00;4404400.00;4085200.00;162593100.00;6727
31/03/2025;1;1;Lunes;52934000.00;10152000.00;33807700.00;38518600.00;60707000.00;6590600.00;21000800.00;19802500.00;243513200.00;8215
31/03/2025;1;3;Lunes;102200.00;45600.00;2673800.00;5826800.00;79086900.00;0.00;408000.00;1155000.00;89298300.00;6912
1/04/2025;1;3;Martes;0.00;0.00;3033800.00;5923100.00;83502600.00;136000.00;884000.00;1093400.00;94572900.00;7305
1/04/2025;1;1;Martes;51997200.00;13471200.00;34967800.00;39098900.00;63160800.00;6876400.00;26799200.00;20270400.00;256641900.00;8505
2/04/2025;1;3;Miercoles;0.00;0.00;2448600.00;5848800.00;87573500.00;170000.00;952000.00;1370600.00;98363500.00;7601
2/04/2025;1;1;Miercoles;57647600.00;11432800.00;36609200.00;38946900.00;62504100.00;7829200.00;27187200.00;22238400.00;264395400.00;8675
3/04/2025;1;1;Jueves;52557200.00;12792400.00;35258700.00;35508900.00;57684500.00;6958800.00;26151200.00;22478600.00;249390300.00;8182
3/04/2025;1;3;Jueves;102200.00;0.00;3033800.00;6052800.00;89718400.00;34000.00;1496000.00;1108800.00;101546000.00;7808
4/04/2025;1;3;Viernes;0.00;0.00;2618000.00;5991200.00;98848400.00;0.00;850000.00;1201200.00;109508800.00;8478
4/04/2025;1;1;Viernes;55290800.00;10607600.00;36576700.00;39002300.00;77147500.00;8882000.00;29863200.00;20200900.00;277571000.00;9501
5/04/2025;1;1;Sabado;38760400.00;10684400.00;22427500.00;37897900.00;83077600.00;5250400.00;19655600.00;13928300.00;231682100.00;8537
5/04/2025;1;3;Sabado;0.00;0.00;1909600.00;5026000.00;100137200.00;34000.00;578000.00;600600.00;108285400.00;8399
6/04/2025;1;3;Domingo;0.00;0.00;354200.00;3699100.00;76860500.00;0.00;102000.00;61600.00;81077400.00;6314
